[2016-02-05 23:21:54] grav.CRITICAL: Undefined index: HTTP_USER_AGENT - Trace: #0 /home/grav/www/html/user/plugins/login/classes/Controller.php(155): Whoops\Run->handleError(8, 'Undefined index...', '/home/grav/www/...', 155, Array) #1 /home/grav/www/html/user/plugins/login/classes/Controller.php(59): Grav\Plugin\Login\Controller->rememberMe() #2 /home/grav/www/html/user/plugins/login/login.php(102): Grav\Plugin\Login\Controller->__construct(Object(Grav\Common\Grav), '') #3 /home/grav/www/html/vendor/pimple/pimple/src/Pimple/Container.php(113): Grav\Plugin\LoginPlugin->Grav\Plugin\{closure}(Object(Grav\Common\Grav)) #4 /home/grav/www/html/user/plugins/login/login.php(393): Pimple\Container->offsetGet('user') #5 [internal function]: Grav\Plugin\LoginPlugin->authorizePage(Object(RocketTheme\Toolbox\Event\Event), 'onPageInitializ...', Object(RocketTheme\Toolbox\Event\EventDispatcher)) #6 /home/grav/www/html/vendor/symfony/event-dispatcher/EventDispatcher.php(181): call_user_func(Array, Object(RocketTheme\Toolbox\Event\Event), 'onPageInitializ...', Object(RocketTheme\Toolbox\Event\EventDispatcher)) #7 /home/grav/www/html/vendor/symfony/event-dispatcher/EventDispatcher.php(46): Symfony\Component\EventDispatcher\EventDispatcher->doDispatch(Array, 'onPageInitializ...', Object(RocketTheme\Toolbox\Event\Event)) #8 /home/grav/www/html/vendor/rockettheme/toolbox/Event/src/EventDispatcher.php(23): Symfony\Component\EventDispatcher\EventDispatcher->dispatch('onPageInitializ...', Object(RocketTheme\Toolbox\Event\Event)) #9 /home/grav/www/html/system/src/Grav/Common/Grav.php(407): RocketTheme\Toolbox\Event\EventDispatcher->dispatch('onPageInitializ...', NULL) #10 /home/grav/www/html/system/src/Grav/Common/Grav.php(247): Grav\Common\Grav->fireEvent('onPageInitializ...') #11 /home/grav/www/html/index.php(38): Grav\Common\Grav->process() #12 {main} [] []
[2016-02-08 14:12:41] grav.CRITICAL: Undefined index: HTTP_USER_AGENT - Trace: #0 /home/grav/www/html/user/plugins/login/classes/Controller.php(155): Whoops\Run->handleError(8, 'Undefined index...', '/home/grav/www/...', 155, Array) #1 /home/grav/www/html/user/plugins/login/classes/Controller.php(59): Grav\Plugin\Login\Controller->rememberMe() #2 /home/grav/www/html/user/plugins/login/login.php(102): Grav\Plugin\Login\Controller->__construct(Object(Grav\Common\Grav), '') #3 /home/grav/www/html/vendor/pimple/pimple/src/Pimple/Container.php(113): Grav\Plugin\LoginPlugin->Grav\Plugin\{closure}(Object(Grav\Common\Grav)) #4 /home/grav/www/html/user/plugins/login/login.php(393): Pimple\Container->offsetGet('user') #5 [internal function]: Grav\Plugin\LoginPlugin->authorizePage(Object(RocketTheme\Toolbox\Event\Event), 'onPageInitializ...', Object(RocketTheme\Toolbox\Event\EventDispatcher)) #6 /home/grav/www/html/vendor/symfony/event-dispatcher/EventDispatcher.php(181): call_user_func(Array, Object(RocketTheme\Toolbox\Event\Event), 'onPageInitializ...', Object(RocketTheme\Toolbox\Event\EventDispatcher)) #7 /home/grav/www/html/vendor/symfony/event-dispatcher/EventDispatcher.php(46): Symfony\Component\EventDispatcher\EventDispatcher->doDispatch(Array, 'onPageInitializ...', Object(RocketTheme\Toolbox\Event\Event)) #8 /home/grav/www/html/vendor/rockettheme/toolbox/Event/src/EventDispatcher.php(23): Symfony\Component\EventDispatcher\EventDispatcher->dispatch('onPageInitializ...', Object(RocketTheme\Toolbox\Event\Event)) #9 /home/grav/www/html/system/src/Grav/Common/Grav.php(407): RocketTheme\Toolbox\Event\EventDispatcher->dispatch('onPageInitializ...', NULL) #10 /home/grav/www/html/system/src/Grav/Common/Grav.php(247): Grav\Common\Grav->fireEvent('onPageInitializ...') #11 /home/grav/www/html/index.php(38): Grav\Common\Grav->process() #12 {main} [] []
[2016-02-09 02:11:56] grav.CRITICAL: Undefined index: HTTP_USER_AGENT - Trace: #0 /home/grav/www/html/user/plugins/login/classes/Controller.php(155): Whoops\Run->handleError(8, 'Undefined index...', '/home/grav/www/...', 155, Array) #1 /home/grav/www/html/user/plugins/login/classes/Controller.php(59): Grav\Plugin\Login\Controller->rememberMe() #2 /home/grav/www/html/user/plugins/login/login.php(102): Grav\Plugin\Login\Controller->__construct(Object(Grav\Common\Grav), '') #3 /home/grav/www/html/vendor/pimple/pimple/src/Pimple/Container.php(113): Grav\Plugin\LoginPlugin->Grav\Plugin\{closure}(Object(Grav\Common\Grav)) #4 /home/grav/www/html/user/plugins/login/login.php(393): Pimple\Container->offsetGet('user') #5 [internal function]: Grav\Plugin\LoginPlugin->authorizePage(Object(RocketTheme\Toolbox\Event\Event), 'onPageInitializ...', Object(RocketTheme\Toolbox\Event\EventDispatcher)) #6 /home/grav/www/html/vendor/symfony/event-dispatcher/EventDispatcher.php(181): call_user_func(Array, Object(RocketTheme\Toolbox\Event\Event), 'onPageInitializ...', Object(RocketTheme\Toolbox\Event\EventDispatcher)) #7 /home/grav/www/html/vendor/symfony/event-dispatcher/EventDispatcher.php(46): Symfony\Component\EventDispatcher\EventDispatcher->doDispatch(Array, 'onPageInitializ...', Object(RocketTheme\Toolbox\Event\Event)) #8 /home/grav/www/html/vendor/rockettheme/toolbox/Event/src/EventDispatcher.php(23): Symfony\Component\EventDispatcher\EventDispatcher->dispatch('onPageInitializ...', Object(RocketTheme\Toolbox\Event\Event)) #9 /home/grav/www/html/system/src/Grav/Common/Grav.php(407): RocketTheme\Toolbox\Event\EventDispatcher->dispatch('onPageInitializ...', NULL) #10 /home/grav/www/html/system/src/Grav/Common/Grav.php(247): Grav\Common\Grav->fireEvent('onPageInitializ...') #11 /home/grav/www/html/index.php(38): Grav\Common\Grav->process() #12 {main} [] []
[2016-02-09 04:02:50] grav.CRITICAL: Undefined index: HTTP_USER_AGENT - Trace: #0 /home/grav/www/html/user/plugins/login/classes/Controller.php(155): Whoops\Run->handleError(8, 'Undefined index...', '/home/grav/www/...', 155, Array) #1 /home/grav/www/html/user/plugins/login/classes/Controller.php(59): Grav\Plugin\Login\Controller->rememberMe() #2 /home/grav/www/html/user/plugins/login/login.php(102): Grav\Plugin\Login\Controller->__construct(Object(Grav\Common\Grav), '') #3 /home/grav/www/html/vendor/pimple/pimple/src/Pimple/Container.php(113): Grav\Plugin\LoginPlugin->Grav\Plugin\{closure}(Object(Grav\Common\Grav)) #4 /home/grav/www/html/user/plugins/login/login.php(393): Pimple\Container->offsetGet('user') #5 [internal function]: Grav\Plugin\LoginPlugin->authorizePage(Object(RocketTheme\Toolbox\Event\Event), 'onPageInitializ...', Object(RocketTheme\Toolbox\Event\EventDispatcher)) #6 /home/grav/www/html/vendor/symfony/event-dispatcher/EventDispatcher.php(181): call_user_func(Array, Object(RocketTheme\Toolbox\Event\Event), 'onPageInitializ...', Object(RocketTheme\Toolbox\Event\EventDispatcher)) #7 /home/grav/www/html/vendor/symfony/event-dispatcher/EventDispatcher.php(46): Symfony\Component\EventDispatcher\EventDispatcher->doDispatch(Array, 'onPageInitializ...', Object(RocketTheme\Toolbox\Event\Event)) #8 /home/grav/www/html/vendor/rockettheme/toolbox/Event/src/EventDispatcher.php(23): Symfony\Component\EventDispatcher\EventDispatcher->dispatch('onPageInitializ...', Object(RocketTheme\Toolbox\Event\Event)) #9 /home/grav/www/html/system/src/Grav/Common/Grav.php(407): RocketTheme\Toolbox\Event\EventDispatcher->dispatch('onPageInitializ...', NULL) #10 /home/grav/www/html/system/src/Grav/Common/Grav.php(247): Grav\Common\Grav->fireEvent('onPageInitializ...') #11 /home/grav/www/html/index.php(38): Grav\Common\Grav->process() #12 {main} [] []
[2016-02-09 22:43:57] grav.CRITICAL: Undefined index: HTTP_USER_AGENT - Trace: #0 /home/grav/www/html/user/plugins/login/classes/Controller.php(155): Whoops\Run->handleError(8, 'Undefined index...', '/home/grav/www/...', 155, Array) #1 /home/grav/www/html/user/plugins/login/classes/Controller.php(59): Grav\Plugin\Login\Controller->rememberMe() #2 /home/grav/www/html/user/plugins/login/login.php(102): Grav\Plugin\Login\Controller->__construct(Object(Grav\Common\Grav), '') #3 /home/grav/www/html/vendor/pimple/pimple/src/Pimple/Container.php(113): Grav\Plugin\LoginPlugin->Grav\Plugin\{closure}(Object(Grav\Common\Grav)) #4 /home/grav/www/html/user/plugins/login/login.php(393): Pimple\Container->offsetGet('user') #5 [internal function]: Grav\Plugin\LoginPlugin->authorizePage(Object(RocketTheme\Toolbox\Event\Event), 'onPageInitializ...', Object(RocketTheme\Toolbox\Event\EventDispatcher)) #6 /home/grav/www/html/vendor/symfony/event-dispatcher/EventDispatcher.php(181): call_user_func(Array, Object(RocketTheme\Toolbox\Event\Event), 'onPageInitializ...', Object(RocketTheme\Toolbox\Event\EventDispatcher)) #7 /home/grav/www/html/vendor/symfony/event-dispatcher/EventDispatcher.php(46): Symfony\Component\EventDispatcher\EventDispatcher->doDispatch(Array, 'onPageInitializ...', Object(RocketTheme\Toolbox\Event\Event)) #8 /home/grav/www/html/vendor/rockettheme/toolbox/Event/src/EventDispatcher.php(23): Symfony\Component\EventDispatcher\EventDispatcher->dispatch('onPageInitializ...', Object(RocketTheme\Toolbox\Event\Event)) #9 /home/grav/www/html/system/src/Grav/Common/Grav.php(407): RocketTheme\Toolbox\Event\EventDispatcher->dispatch('onPageInitializ...', NULL) #10 /home/grav/www/html/system/src/Grav/Common/Grav.php(247): Grav\Common\Grav->fireEvent('onPageInitializ...') #11 /home/grav/www/html/index.php(38): Grav\Common\Grav->process() #12 {main} [] []
[2016-02-12 01:15:25] grav.CRITICAL: Undefined index: HTTP_USER_AGENT - Trace: #0 /home/grav/www/html/user/plugins/login/classes/Controller.php(155): Whoops\Run->handleError(8, 'Undefined index...', '/home/grav/www/...', 155, Array) #1 /home/grav/www/html/user/plugins/login/classes/Controller.php(59): Grav\Plugin\Login\Controller->rememberMe() #2 /home/grav/www/html/user/plugins/login/login.php(102): Grav\Plugin\Login\Controller->__construct(Object(Grav\Common\Grav), '') #3 /home/grav/www/html/vendor/pimple/pimple/src/Pimple/Container.php(113): Grav\Plugin\LoginPlugin->Grav\Plugin\{closure}(Object(Grav\Common\Grav)) #4 /home/grav/www/html/user/plugins/login/login.php(393): Pimple\Container->offsetGet('user') #5 [internal function]: Grav\Plugin\LoginPlugin->authorizePage(Object(RocketTheme\Toolbox\Event\Event), 'onPageInitializ...', Object(RocketTheme\Toolbox\Event\EventDispatcher)) #6 /home/grav/www/html/vendor/symfony/event-dispatcher/EventDispatcher.php(181): call_user_func(Array, Object(RocketTheme\Toolbox\Event\Event), 'onPageInitializ...', Object(RocketTheme\Toolbox\Event\EventDispatcher)) #7 /home/grav/www/html/vendor/symfony/event-dispatcher/EventDispatcher.php(46): Symfony\Component\EventDispatcher\EventDispatcher->doDispatch(Array, 'onPageInitializ...', Object(RocketTheme\Toolbox\Event\Event)) #8 /home/grav/www/html/vendor/rockettheme/toolbox/Event/src/EventDispatcher.php(23): Symfony\Component\EventDispatcher\EventDispatcher->dispatch('onPageInitializ...', Object(RocketTheme\Toolbox\Event\Event)) #9 /home/grav/www/html/system/src/Grav/Common/Grav.php(407): RocketTheme\Toolbox\Event\EventDispatcher->dispatch('onPageInitializ...', NULL) #10 /home/grav/www/html/system/src/Grav/Common/Grav.php(247): Grav\Common\Grav->fireEvent('onPageInitializ...') #11 /home/grav/www/html/index.php(38): Grav\Common\Grav->process() #12 {main} [] []
[2016-02-12 05:10:50] grav.CRITICAL: Undefined index: HTTP_USER_AGENT - Trace: #0 /home/grav/www/html/user/plugins/login/classes/Controller.php(155): Whoops\Run->handleError(8, 'Undefined index...', '/home/grav/www/...', 155, Array) #1 /home/grav/www/html/user/plugins/login/classes/Controller.php(59): Grav\Plugin\Login\Controller->rememberMe() #2 /home/grav/www/html/user/plugins/login/login.php(102): Grav\Plugin\Login\Controller->__construct(Object(Grav\Common\Grav), '') #3 /home/grav/www/html/vendor/pimple/pimple/src/Pimple/Container.php(113): Grav\Plugin\LoginPlugin->Grav\Plugin\{closure}(Object(Grav\Common\Grav)) #4 /home/grav/www/html/user/plugins/login/login.php(393): Pimple\Container->offsetGet('user') #5 [internal function]: Grav\Plugin\LoginPlugin->authorizePage(Object(RocketTheme\Toolbox\Event\Event), 'onPageInitializ...', Object(RocketTheme\Toolbox\Event\EventDispatcher)) #6 /home/grav/www/html/vendor/symfony/event-dispatcher/EventDispatcher.php(181): call_user_func(Array, Object(RocketTheme\Toolbox\Event\Event), 'onPageInitializ...', Object(RocketTheme\Toolbox\Event\EventDispatcher)) #7 /home/grav/www/html/vendor/symfony/event-dispatcher/EventDispatcher.php(46): Symfony\Component\EventDispatcher\EventDispatcher->doDispatch(Array, 'onPageInitializ...', Object(RocketTheme\Toolbox\Event\Event)) #8 /home/grav/www/html/vendor/rockettheme/toolbox/Event/src/EventDispatcher.php(23): Symfony\Component\EventDispatcher\EventDispatcher->dispatch('onPageInitializ...', Object(RocketTheme\Toolbox\Event\Event)) #9 /home/grav/www/html/system/src/Grav/Common/Grav.php(407): RocketTheme\Toolbox\Event\EventDispatcher->dispatch('onPageInitializ...', NULL) #10 /home/grav/www/html/system/src/Grav/Common/Grav.php(247): Grav\Common\Grav->fireEvent('onPageInitializ...') #11 /home/grav/www/html/index.php(38): Grav\Common\Grav->process() #12 {main} [] []
[2016-02-12 05:10:51] grav.CRITICAL: Undefined index: HTTP_USER_AGENT - Trace: #0 /home/grav/www/html/user/plugins/login/classes/Controller.php(155): Whoops\Run->handleError(8, 'Undefined index...', '/home/grav/www/...', 155, Array) #1 /home/grav/www/html/user/plugins/login/classes/Controller.php(59): Grav\Plugin\Login\Controller->rememberMe() #2 /home/grav/www/html/user/plugins/login/login.php(102): Grav\Plugin\Login\Controller->__construct(Object(Grav\Common\Grav), '') #3 /home/grav/www/html/vendor/pimple/pimple/src/Pimple/Container.php(113): Grav\Plugin\LoginPlugin->Grav\Plugin\{closure}(Object(Grav\Common\Grav)) #4 /home/grav/www/html/user/plugins/login/login.php(393): Pimple\Container->offsetGet('user') #5 [internal function]: Grav\Plugin\LoginPlugin->authorizePage(Object(RocketTheme\Toolbox\Event\Event), 'onPageInitializ...', Object(RocketTheme\Toolbox\Event\EventDispatcher)) #6 /home/grav/www/html/vendor/symfony/event-dispatcher/EventDispatcher.php(181): call_user_func(Array, Object(RocketTheme\Toolbox\Event\Event), 'onPageInitializ...', Object(RocketTheme\Toolbox\Event\EventDispatcher)) #7 /home/grav/www/html/vendor/symfony/event-dispatcher/EventDispatcher.php(46): Symfony\Component\EventDispatcher\EventDispatcher->doDispatch(Array, 'onPageInitializ...', Object(RocketTheme\Toolbox\Event\Event)) #8 /home/grav/www/html/vendor/rockettheme/toolbox/Event/src/EventDispatcher.php(23): Symfony\Component\EventDispatcher\EventDispatcher->dispatch('onPageInitializ...', Object(RocketTheme\Toolbox\Event\Event)) #9 /home/grav/www/html/system/src/Grav/Common/Grav.php(407): RocketTheme\Toolbox\Event\EventDispatcher->dispatch('onPageInitializ...', NULL) #10 /home/grav/www/html/system/src/Grav/Common/Grav.php(247): Grav\Common\Grav->fireEvent('onPageInitializ...') #11 /home/grav/www/html/index.php(38): Grav\Common\Grav->process() #12 {main} [] []
[2016-02-12 23:42:31] grav.CRITICAL: Undefined index: HTTP_USER_AGENT - Trace: #0 /home/grav/www/html/user/plugins/login/classes/Controller.php(155): Whoops\Run->handleError(8, 'Undefined index...', '/home/grav/www/...', 155, Array) #1 /home/grav/www/html/user/plugins/login/classes/Controller.php(59): Grav\Plugin\Login\Controller->rememberMe() #2 /home/grav/www/html/user/plugins/login/login.php(102): Grav\Plugin\Login\Controller->__construct(Object(Grav\Common\Grav), '') #3 /home/grav/www/html/vendor/pimple/pimple/src/Pimple/Container.php(113): Grav\Plugin\LoginPlugin->Grav\Plugin\{closure}(Object(Grav\Common\Grav)) #4 /home/grav/www/html/user/plugins/login/login.php(393): Pimple\Container->offsetGet('user') #5 [internal function]: Grav\Plugin\LoginPlugin->authorizePage(Object(RocketTheme\Toolbox\Event\Event), 'onPageInitializ...', Object(RocketTheme\Toolbox\Event\EventDispatcher)) #6 /home/grav/www/html/vendor/symfony/event-dispatcher/EventDispatcher.php(181): call_user_func(Array, Object(RocketTheme\Toolbox\Event\Event), 'onPageInitializ...', Object(RocketTheme\Toolbox\Event\EventDispatcher)) #7 /home/grav/www/html/vendor/symfony/event-dispatcher/EventDispatcher.php(46): Symfony\Component\EventDispatcher\EventDispatcher->doDispatch(Array, 'onPageInitializ...', Object(RocketTheme\Toolbox\Event\Event)) #8 /home/grav/www/html/vendor/rockettheme/toolbox/Event/src/EventDispatcher.php(23): Symfony\Component\EventDispatcher\EventDispatcher->dispatch('onPageInitializ...', Object(RocketTheme\Toolbox\Event\Event)) #9 /home/grav/www/html/system/src/Grav/Common/Grav.php(407): RocketTheme\Toolbox\Event\EventDispatcher->dispatch('onPageInitializ...', NULL) #10 /home/grav/www/html/system/src/Grav/Common/Grav.php(247): Grav\Common\Grav->fireEvent('onPageInitializ...') #11 /home/grav/www/html/index.php(38): Grav\Common\Grav->process() #12 {main} [] []
[2016-02-13 02:01:30] grav.CRITICAL: Undefined index: HTTP_USER_AGENT - Trace: #0 /home/grav/www/html/user/plugins/login/classes/Controller.php(155): Whoops\Run->handleError(8, 'Undefined index...', '/home/grav/www/...', 155, Array) #1 /home/grav/www/html/user/plugins/login/classes/Controller.php(59): Grav\Plugin\Login\Controller->rememberMe() #2 /home/grav/www/html/user/plugins/login/login.php(102): Grav\Plugin\Login\Controller->__construct(Object(Grav\Common\Grav), '') #3 /home/grav/www/html/vendor/pimple/pimple/src/Pimple/Container.php(113): Grav\Plugin\LoginPlugin->Grav\Plugin\{closure}(Object(Grav\Common\Grav)) #4 /home/grav/www/html/user/plugins/login/login.php(393): Pimple\Container->offsetGet('user') #5 [internal function]: Grav\Plugin\LoginPlugin->authorizePage(Object(RocketTheme\Toolbox\Event\Event), 'onPageInitializ...', Object(RocketTheme\Toolbox\Event\EventDispatcher)) #6 /home/grav/www/html/vendor/symfony/event-dispatcher/EventDispatcher.php(181): call_user_func(Array, Object(RocketTheme\Toolbox\Event\Event), 'onPageInitializ...', Object(RocketTheme\Toolbox\Event\EventDispatcher)) #7 /home/grav/www/html/vendor/symfony/event-dispatcher/EventDispatcher.php(46): Symfony\Component\EventDispatcher\EventDispatcher->doDispatch(Array, 'onPageInitializ...', Object(RocketTheme\Toolbox\Event\Event)) #8 /home/grav/www/html/vendor/rockettheme/toolbox/Event/src/EventDispatcher.php(23): Symfony\Component\EventDispatcher\EventDispatcher->dispatch('onPageInitializ...', Object(RocketTheme\Toolbox\Event\Event)) #9 /home/grav/www/html/system/src/Grav/Common/Grav.php(407): RocketTheme\Toolbox\Event\EventDispatcher->dispatch('onPageInitializ...', NULL) #10 /home/grav/www/html/system/src/Grav/Common/Grav.php(247): Grav\Common\Grav->fireEvent('onPageInitializ...') #11 /home/grav/www/html/index.php(38): Grav\Common\Grav->process() #12 {main} [] []
[2016-02-13 02:01:30] grav.CRITICAL: Undefined index: HTTP_USER_AGENT - Trace: #0 /home/grav/www/html/user/plugins/login/classes/Controller.php(155): Whoops\Run->handleError(8, 'Undefined index...', '/home/grav/www/...', 155, Array) #1 /home/grav/www/html/user/plugins/login/classes/Controller.php(59): Grav\Plugin\Login\Controller->rememberMe() #2 /home/grav/www/html/user/plugins/login/login.php(102): Grav\Plugin\Login\Controller->__construct(Object(Grav\Common\Grav), '') #3 /home/grav/www/html/vendor/pimple/pimple/src/Pimple/Container.php(113): Grav\Plugin\LoginPlugin->Grav\Plugin\{closure}(Object(Grav\Common\Grav)) #4 /home/grav/www/html/user/plugins/login/login.php(393): Pimple\Container->offsetGet('user') #5 [internal function]: Grav\Plugin\LoginPlugin->authorizePage(Object(RocketTheme\Toolbox\Event\Event), 'onPageInitializ...', Object(RocketTheme\Toolbox\Event\EventDispatcher)) #6 /home/grav/www/html/vendor/symfony/event-dispatcher/EventDispatcher.php(181): call_user_func(Array, Object(RocketTheme\Toolbox\Event\Event), 'onPageInitializ...', Object(RocketTheme\Toolbox\Event\EventDispatcher)) #7 /home/grav/www/html/vendor/symfony/event-dispatcher/EventDispatcher.php(46): Symfony\Component\EventDispatcher\EventDispatcher->doDispatch(Array, 'onPageInitializ...', Object(RocketTheme\Toolbox\Event\Event)) #8 /home/grav/www/html/vendor/rockettheme/toolbox/Event/src/EventDispatcher.php(23): Symfony\Component\EventDispatcher\EventDispatcher->dispatch('onPageInitializ...', Object(RocketTheme\Toolbox\Event\Event)) #9 /home/grav/www/html/system/src/Grav/Common/Grav.php(407): RocketTheme\Toolbox\Event\EventDispatcher->dispatch('onPageInitializ...', NULL) #10 /home/grav/www/html/system/src/Grav/Common/Grav.php(247): Grav\Common\Grav->fireEvent('onPageInitializ...') #11 /home/grav/www/html/index.php(38): Grav\Common\Grav->process() #12 {main} [] []
